rank,filename,dataset,ssim,hist_corr,edge_density,line_density,combined_score,z_score,after_path,before_path
11,"3FO4IMSLQSQF_445021_empty_1.jpg",train,0.056819,-0.017753,8.898697,8.20,0.019533,-2.15,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IMSLQSQF_445021_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IMSLQSQF_445021_empty_1.jpg"
12,"3FO4IMWOXYKF_366483_empty_1.jpg",train,0.083120,-0.043047,14.669037,17.58,0.020036,-2.15,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IMWOXYKF_366483_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IMWOXYKF_366483_empty_1.jpg"
13,"3FO4IMNM155E_1798_empty_1.jpg",train,0.212188,-0.168727,34.898300,35.55,0.021731,-2.15,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IMNM155E_1798_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IMNM155E_1798_empty_1.jpg"
14,"3FO4IIU69JH3_259_empty_1.jpg",train,0.104055,-0.054206,4.890976,4.30,0.024925,-2.13,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IIU69JH3_259_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IIU69JH3_259_empty_1.jpg"
15,"3FO4IMGTSS7E_614_empty_1.jpg",train,0.240777,-0.189866,18.917999,15.23,0.025455,-2.13,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IMGTSS7E_614_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IMGTSS7E_614_empty_1.jpg"
16,"3FO4IL8X6HXY_1014_empty_1.jpg",validation,0.079269,-0.020925,13.159332,8.98,0.029172,-2.12,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IL8X6HXY_1014_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IL8X6HXY_1014_empty_1.jpg"
17,"3FO4IJN7DYK2_824_empty_1.jpg",train,0.077746,-0.018822,9.746933,8.98,0.029462,-2.11,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IJN7DYK2_824_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IJN7DYK2_824_empty_1.jpg"
18,"3FO4ILU6FUB5_824_empty_1.jpg",train,0.098605,-0.029630,8.046570,6.25,0.034487,-2.09,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4ILU6FUB5_824_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4ILU6FUB5_824_empty_1.jpg"
19,"3FO4IQ9SEUJ4_373329_empty_1.jpg",test,0.335809,-0.266275,8.723602,7.42,0.034767,-2.09,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IQ9SEUJ4_373329_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IQ9SEUJ4_373329_empty_1.jpg"
20,"3FO4IO9QP7UT_16515_empty_1.jpg",test,0.125405,-0.052896,22.318726,27.73,0.036255,-2.09,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IO9QP7UT_16515_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IO9QP7UT_16515_empty_1.jpg"
21,"3FO4IGI45WK9_1269_empty_1.jpg",train,0.118647,-0.040078,20.645599,17.97,0.039284,-2.08,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IGI45WK9_1269_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IGI45WK9_1269_empty_1.jpg"
22,"3FO4IG2S75J1_141_empty_1.jpg",validation,0.123662,-0.042978,7.960968,5.47,0.040342,-2.07,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IG2S75J1_141_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IG2S75J1_141_empty_1.jpg"
23,"3FO4IO4YBSRQ_864254_empty_1.jpg",train,0.087580,-0.004413,12.770233,10.94,0.041583,-2.07,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IO4YBSRQ_864254_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IO4YBSRQ_864254_empty_1.jpg"
24,"3FO4ILR94OD4_141_empty_1.jpg",validation,0.409879,-0.325560,8.731384,8.20,0.042159,-2.06,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4ILR94OD4_141_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4ILR94OD4_141_empty_1.jpg"
25,"3FO4IJN7DYK2_1412_empty_1.jpg",train,0.113914,-0.029421,14.439468,10.16,0.042247,-2.06,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IJN7DYK2_1412_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IJN7DYK2_1412_empty_1.jpg"
26,"3FO4IIX29XSF_1023_empty_1.jpg",train,0.122331,-0.035056,11.256638,8.59,0.043638,-2.06,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IIX29XSF_1023_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IIX29XSF_1023_empty_1.jpg"
27,"3FO4IMIU2TCT_12319_empty_1.jpg",train,0.119705,-0.030259,16.602859,15.23,0.044723,-2.05,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IMIU2TCT_12319_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IMIU2TCT_12319_empty_1.jpg"
28,"3FO4IMSLQPEE_876597_empty_1.jpg",train,0.119862,-0.026053,10.972595,11.33,0.046905,-2.05,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IMSLQPEE_876597_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IMSLQPEE_876597_empty_1.jpg"
29,"3FO4IM6UEQ91_159_empty_1.jpg",train,0.135131,-0.040878,9.910355,7.42,0.047127,-2.04,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IM6UEQ91_159_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IM6UEQ91_159_empty_1.jpg"
30,"3FO4IJ6XG5XO_2252_empty_1.jpg",test,0.180872,-0.085156,25.194168,26.95,0.047858,-2.04,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IJ6XG5XO_2252_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IJ6XG5XO_2252_empty_1.jpg"
31,"3FO4INWDSHWD_1346_empty_1.jpg",train,0.134271,-0.037815,20.423813,21.88,0.048228,-2.04,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4INWDSHWD_1346_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4INWDSHWD_1346_empty_1.jpg"
32,"3FO4IN1CHECB_833651_empty_1.jpg",train,0.221911,-0.122305,12.112656,7.42,0.049803,-2.03,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IN1CHECB_833651_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IN1CHECB_833651_empty_1.jpg"
33,"3FO4II2XRCUU_373762_empty_1.jpg",train,0.218655,-0.112332,9.085464,7.81,0.053162,-2.02,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4II2XRCUU_373762_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4II2XRCUU_373762_empty_1.jpg"
34,"3FO4IPFIJEQ9_312_empty_1.jpg",test,0.120838,-0.009279,19.486084,12.50,0.055779,-2.01,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IPFIJEQ9_312_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IPFIJEQ9_312_empty_1.jpg"
35,"3FO4IOF7021L_584901_empty_1.jpg",train,0.130468,-0.018644,28.026810,37.89,0.055912,-2.01,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IOF7021L_584901_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IOF7021L_584901_empty_1.jpg"
36,"3FO4IDU7VMMJ_520501_empty_1.jpg",train,0.134887,-0.020032,5.906525,5.47,0.057428,-2.00,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IDU7VMMJ_520501_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IDU7VMMJ_520501_empty_1.jpg"
37,"3FO4ILMVEUUM_9683_empty_1.jpg",train,0.122242,-0.007197,22.361526,21.88,0.057522,-2.00,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4ILMVEUUM_9683_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4ILMVEUUM_9683_empty_1.jpg"
38,"3FO4IOCCJXOS_1325_empty_1.jpg",train,0.121660,-0.004669,22.964630,22.27,0.058495,-2.00,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IOCCJXOS_1325_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IOCCJXOS_1325_empty_1.jpg"
39,"3FO4IO3UGYX2_291_empty_1.jpg",train,0.210439,-0.093360,19.657288,15.23,0.058539,-2.00,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IO3UGYX2_291_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IO3UGYX2_291_empty_1.jpg"
40,"3FO4IJN82R56_9954_empty_1.jpg",test,0.159776,-0.042624,14.606781,14.06,0.058576,-2.00,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IJN82R56_9954_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IJN82R56_9954_empty_1.jpg"
41,"3FO4IO3BPR8S_2888_empty_1.jpg",train,0.139501,-0.021551,11.252747,8.59,0.058975,-2.00,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IO3BPR8S_2888_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IO3BPR8S_2888_empty_1.jpg"
42,"3FO4IDI9FO3C_382_empty_1.jpg",train,0.156115,-0.035929,38.863220,35.16,0.060093,-1.99,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IDI9FO3C_382_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IDI9FO3C_382_empty_1.jpg"
43,"3FO4ILU6FUB5_4067_empty_1.jpg",test,0.285835,-0.165020,20.373230,15.23,0.060408,-1.99,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4ILU6FUB5_4067_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4ILU6FUB5_4067_empty_1.jpg"
44,"3FO4IONJ41YB_903927_empty_1.jpg",train,0.249945,-0.128086,10.392838,8.98,0.060929,-1.99,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IONJ41YB_903927_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IONJ41YB_903927_empty_1.jpg"
45,"3FO4IO5EBULR_173517354035372_empty_1.jpg",train,0.153844,-0.030928,17.190399,16.41,0.061458,-1.99,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IO5EBULR_173517354035372_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IO5EBULR_173517354035372_empty_1.jpg"
46,"3FO4IMP6G304_1261_empty_1.jpg",train,0.212359,-0.089203,25.540466,13.67,0.061578,-1.99,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IMP6G304_1261_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IMP6G304_1261_empty_1.jpg"
47,"3FO4INWDSHWD_314_empty_1.jpg",train,0.114138,0.010458,15.252686,9.38,0.062298,-1.99,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4INWDSHWD_314_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4INWDSHWD_314_empty_1.jpg"
48,"3FO4IPCF3R93_857_empty_1.jpg",test,0.513658,-0.386541,26.723328,21.48,0.063559,-1.98,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IPCF3R93_857_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IPCF3R93_857_empty_1.jpg"
49,"3FO4IO7I0I1Y_24152_empty_1.jpg",test,0.516254,-0.384558,19.474411,10.16,0.065848,-1.97,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IO7I0I1Y_24152_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IO7I0I1Y_24152_empty_1.jpg"
50,"3FO4IQ3ROUMG_945912_empty_1.jpg",train,0.312885,-0.180174,35.843811,48.44,0.066356,-1.97,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IQ3ROUMG_945912_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IQ3ROUMG_945912_empty_1.jpg"
51,"3FO4II2XRCUU_373759_empty_1.jpg",test,0.181939,-0.041842,24.770050,25.39,0.070049,-1.95,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4II2XRCUU_373759_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4II2XRCUU_373759_empty_1.jpg"
52,"3FO4IP6QVI2C_291_empty_1.jpg",train,0.280512,-0.136605,11.630173,9.38,0.071953,-1.95,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IP6QVI2C_291_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IP6QVI2C_291_empty_1.jpg"
53,"3FO4IP7WFNBR_958_empty_1.jpg",train,0.333288,-0.188689,12.684631,10.55,0.072299,-1.95,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IP7WFNBR_958_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IP7WFNBR_958_empty_1.jpg"
54,"3FO4IQHMU3HR_734620_empty_1.jpg",train,0.354896,-0.205154,41.633606,59.38,0.074871,-1.94,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IQHMU3HR_734620_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IQHMU3HR_734620_empty_1.jpg"
55,"3FO4IGUI61O7_1857_empty_1.jpg",train,0.411913,-0.259476,37.913818,33.59,0.076219,-1.93,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IGUI61O7_1857_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IGUI61O7_1857_empty_1.jpg"
56,"3FO4IQHB3MAP_176_empty_1.jpg",test,0.194686,-0.034923,10.820847,8.59,0.079881,-1.92,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IQHB3MAP_176_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IQHB3MAP_176_empty_1.jpg"
57,"3FO4IQDJNEDW_1639_empty_1.jpg",train,0.379930,-0.210470,24.268112,23.05,0.084730,-1.90,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IQDJNEDW_1639_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IQDJNEDW_1639_empty_1.jpg"
58,"3FO4IQ9KBVKH_161_empty_1.jpg",validation,0.414125,-0.239961,10.264435,8.59,0.087082,-1.89,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IQ9KBVKH_161_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IQ9KBVKH_161_empty_1.jpg"
59,"3FO4IJN7DYK2_1195_empty_1.jpg",train,0.222310,-0.048095,18.346024,14.84,0.087107,-1.89,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IJN7DYK2_1195_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IJN7DYK2_1195_empty_1.jpg"
60,"3FO4II7SBF5K_2123_empty_1.jpg",test,0.239872,-0.064873,22.139740,20.70,0.087500,-1.89,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4II7SBF5K_2123_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4II7SBF5K_2123_empty_1.jpg"
61,"3FO4IM6J9AN9_187_empty_1.jpg",test,0.358308,-0.183285,12.875290,13.28,0.087512,-1.89,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IM6J9AN9_187_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IM6J9AN9_187_empty_1.jpg"
62,"3FO4IEKSCX7U_1348_empty_1.jpg",train,0.200725,-0.023723,16.493912,11.72,0.088501,-1.88,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IEKSCX7U_1348_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IEKSCX7U_1348_empty_1.jpg"
63,"3FO4IMSLQPEE_876601_empty_1.jpg",train,0.168290,0.012413,19.700089,16.80,0.090352,-1.87,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IMSLQPEE_876601_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IMSLQPEE_876601_empty_1.jpg"
64,"3FO4IIR68SAR_81210_empty_1.jpg",validation,0.407369,-0.224715,14.015350,11.72,0.091327,-1.87,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IIR68SAR_81210_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IIR68SAR_81210_empty_1.jpg"
65,"3FO4IGUI61O7_161_empty_1.jpg",test,0.244687,-0.058587,10.567932,10.94,0.093050,-1.86,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IGUI61O7_161_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IGUI61O7_161_empty_1.jpg"
66,"3FO4IIQQH2D8_141_empty_1.jpg",validation,0.399737,-0.213162,26.256409,32.03,0.093287,-1.86,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IIQQH2D8_141_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IIQQH2D8_141_empty_1.jpg"
67,"3FO4IOW77GU0_170_empty_1.jpg",train,0.208664,-0.018983,12.353897,7.42,0.094840,-1.86,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IOW77GU0_170_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IOW77GU0_170_empty_1.jpg"
68,"3FO4IN1CIJGN_135_empty_1.jpg",validation,0.193497,-0.001747,16.081467,11.72,0.095875,-1.85,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IN1CIJGN_135_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IN1CIJGN_135_empty_1.jpg"
69,"3FO4II2X5NUD_161_empty_1.jpg",validation,0.279316,-0.085991,19.812927,18.75,0.096662,-1.85,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4II2X5NUD_161_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4II2X5NUD_161_empty_1.jpg"
70,"3FO4IK6DT26W_1715_empty_1.jpg",train,0.207355,-0.013711,17.081451,13.67,0.096822,-1.85,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IK6DT26W_1715_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IK6DT26W_1715_empty_1.jpg"
71,"3FO4IORJAN1Q_735_empty_1.jpg",test,0.446092,-0.252431,17.758484,15.62,0.096831,-1.85,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IORJAN1Q_735_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IORJAN1Q_735_empty_1.jpg"
72,"3FO4IIOCR1VX_149_empty_1.jpg",validation,0.330799,-0.135302,33.310776,31.25,0.097749,-1.85,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IIOCR1VX_149_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IIOCR1VX_149_empty_1.jpg"
73,"3FO4IJWBOUUG_1073100_empty_1.jpg",train,0.254902,-0.057747,10.848083,7.81,0.098578,-1.84,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IJWBOUUG_1073100_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IJWBOUUG_1073100_empty_1.jpg"
74,"3FO4IE81FDGL_322_empty_1.jpg",validation,0.273511,-0.073785,28.851700,34.38,0.099863,-1.84,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IE81FDGL_322_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IE81FDGL_322_empty_1.jpg"
75,"3FO4IJWD3B3X_834484_empty_1.jpg",train,0.291277,-0.088016,20.828476,14.06,0.101631,-1.83,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IJWD3B3X_834484_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IJWD3B3X_834484_empty_1.jpg"
76,"3FO4IFWXWFX4_1690_empty_1.jpg",train,0.344177,-0.137946,3.696442,3.52,0.103116,-1.82,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IFWXWFX4_1690_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IFWXWFX4_1690_empty_1.jpg"
77,"3FO4IIIL853B_3783_empty_1.jpg",test,0.293424,-0.085295,7.622452,7.42,0.104064,-1.82,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IIIL853B_3783_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IIIL853B_3783_empty_1.jpg"
78,"3FO4IJDX7X6R_159_empty_1.jpg",train,0.229720,-0.018935,11.295547,9.38,0.105393,-1.82,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IJDX7X6R_159_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IJDX7X6R_159_empty_1.jpg"
79,"3FO4IMFRHA4N_4953_empty_1.jpg",train,0.229883,-0.017234,17.637863,12.11,0.106325,-1.81,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IMFRHA4N_4953_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IMFRHA4N_4953_empty_1.jpg"
80,"3FO4IIBQ6T3P_169_empty_1.jpg",test,0.206257,0.006740,9.610748,9.38,0.106498,-1.81,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IIBQ6T3P_169_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IIBQ6T3P_169_empty_1.jpg"
